ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
ZUMZ,27/3/2018,24.65,24.65,23.35,23.6,403884,0,1,24.65,24.65,23.35,23.6,403884
ZUMZ,26/3/2018,23.75,24.8,23.7,24.65,375320,0,1,23.75,24.8,23.7,24.65,375320
ZUMZ,23/3/2018,23.55,24.2,23.45,23.55,301584,0,1,23.55,24.2,23.45,23.55,301584
ZUMZ,22/3/2018,23.9,24.35,23.3,23.35,269607,0,1,23.9,24.35,23.3,23.35,269607
ZUMZ,21/3/2018,23.8,24.6,23.6058,23.95,354092,0,1,23.8,24.6,23.6058,23.95,354092
ZUMZ,20/3/2018,23.1,24,22.95,23.8,404873,0,1,23.1,24,22.95,23.8,404873
ZUMZ,19/3/2018,22.15,23.65,22.15,23.4,858257,0,1,22.15,23.65,22.15,23.4,858257
ZUMZ,16/3/2018,20.4,23,19.3,22.1,2059778,0,1,20.4,23,19.3,22.1,2059778
ZUMZ,15/3/2018,19.75,20.15,19.4,20,599736,0,1,19.75,20.15,19.4,20,599736
ZUMZ,14/3/2018,20.1,20.2,19.15,19.6,357345,0,1,20.1,20.2,19.15,19.6,357345
ZUMZ,13/3/2018,19.9,20.2,19.75,20,240835,0,1,19.9,20.2,19.75,20,240835
ZUMZ,12/3/2018,19.55,19.95,19.5,19.9,203999,0,1,19.55,19.95,19.5,19.9,203999
ZUMZ,9/3/2018,20.3,20.35,19.45,19.55,275292,0,1,20.3,20.35,19.45,19.55,275292
ZUMZ,8/3/2018,20.3,20.45,19.825,20.25,276360,0,1,20.3,20.45,19.825,20.25,276360
ZUMZ,7/3/2018,20.7,20.9,19.95,20.1,387531,0,1,20.7,20.9,19.95,20.1,387531
ZUMZ,6/3/2018,20.3,20.95,20.25,20.9,223962,0,1,20.3,20.95,20.25,20.9,223962
ZUMZ,5/3/2018,20.15,20.5,19.9,20.35,205387,0,1,20.15,20.5,19.9,20.35,205387
ZUMZ,2/3/2018,19.55,20.3,19.25,20.2,138229,0,1,19.55,20.3,19.25,20.2,138229
ZUMZ,1/3/2018,19.65,20,19.1,19.7,357290,0,1,19.65,20,19.1,19.7,357290
ZUMZ,28/2/2018,20,20.35,19.7,19.7,214103,0,1,20,20.35,19.7,19.7,214103
ZUMZ,27/2/2018,20.7,21,19.7,19.8,226331,0,1,20.7,21,19.7,19.8,226331
ZUMZ,26/2/2018,20.35,20.8,20.125,20.55,236441,0,1,20.35,20.8,20.125,20.55,236441
ZUMZ,23/2/2018,19.9,20.25,19.6,20.25,164698,0,1,19.9,20.25,19.6,20.25,164698
ZUMZ,22/2/2018,19.55,20,19.35,19.8,195084,0,1,19.55,20,19.35,19.8,195084
ZUMZ,21/2/2018,19.3,19.85,19.3,19.5,139877,0,1,19.3,19.85,19.3,19.5,139877
ZUMZ,20/2/2018,19.95,20.1,19.2,19.3,250132,0,1,19.95,20.1,19.2,19.3,250132
ZUMZ,16/2/2018,20.05,20.55,20.05,20.1,284049,0,1,20.05,20.55,20.05,20.1,284049
ZUMZ,15/2/2018,20.3,20.4,19.5,20.1,203298,0,1,20.3,20.4,19.5,20.1,203298
ZUMZ,14/2/2018,19.2,20.55,19.2,20.25,389195,0,1,19.2,20.55,19.2,20.25,389195
ZUMZ,13/2/2018,19,20,19,19.2,535981,0,1,19,20,19,19.2,535981
ZUMZ,12/2/2018,19.35,19.375,18.6,18.95,374597,0,1,19.35,19.375,18.6,18.95,374597
ZUMZ,9/2/2018,20.15,20.45,18.55,19.3,525121,0,1,20.15,20.45,18.55,19.3,525121
ZUMZ,8/2/2018,20.4,20.9,19.9,20.1,302991,0,1,20.4,20.9,19.9,20.1,302991
ZUMZ,7/2/2018,20.55,21.25,20.25,20.45,572968,0,1,20.55,21.25,20.25,20.45,572968
ZUMZ,6/2/2018,20.1,21.25,19.75,20.55,571899,0,1,20.1,21.25,19.75,20.55,571899
ZUMZ,5/2/2018,20.45,21.2,20.3,20.4,612433,0,1,20.45,21.2,20.3,20.4,612433
ZUMZ,2/2/2018,20.8,21.1,19.8,20.6,491725,0,1,20.8,21.1,19.8,20.6,491725
ZUMZ,1/2/2018,20.75,21.4,20.25,20.85,547184,0,1,20.75,21.4,20.25,20.85,547184
ZUMZ,31/1/2018,21.25,21.55,20.45,20.75,361761,0,1,21.25,21.55,20.45,20.75,361761
ZUMZ,30/1/2018,22.05,22.1,21.35,21.35,245903,0,1,22.05,22.1,21.35,21.35,245903
ZUMZ,29/1/2018,22.25,22.65,22.2,22.35,180056,0,1,22.25,22.65,22.2,22.35,180056
ZUMZ,26/1/2018,22.35,22.6,22.1,22.35,180844,0,1,22.35,22.6,22.1,22.35,180844
ZUMZ,25/1/2018,22.55,22.671,21.75,22.35,182662,0,1,22.55,22.671,21.75,22.35,182662
ZUMZ,24/1/2018,22.6,22.75,22.15,22.4,175508,0,1,22.6,22.75,22.15,22.4,175508
ZUMZ,23/1/2018,23.55,23.6001,22.35,22.6,342746,0,1,23.55,23.6001,22.35,22.6,342746
ZUMZ,22/1/2018,23.15,23.65,22.85,23.55,221655,0,1,23.15,23.65,22.85,23.55,221655
ZUMZ,19/1/2018,22.45,23.2,22.3,23.1,238795,0,1,22.45,23.2,22.3,23.1,238795
ZUMZ,18/1/2018,22.5,22.6,22.1814,22.4,241932,0,1,22.5,22.6,22.1814,22.4,241932
ZUMZ,17/1/2018,22.45,22.5,22.05,22.45,429538,0,1,22.45,22.5,22.05,22.45,429538
ZUMZ,16/1/2018,23.15,23.15,22.05,22.25,379349,0,1,23.15,23.15,22.05,22.25,379349
ZUMZ,12/1/2018,22.6,23.4,22.55,22.95,206717,0,1,22.6,23.4,22.55,22.95,206717
ZUMZ,11/1/2018,22.25,22.6,22.15,22.4,258101,0,1,22.25,22.6,22.15,22.4,258101
ZUMZ,10/1/2018,22.05,22.75,22.05,22.2,335078,0,1,22.05,22.75,22.05,22.2,335078
ZUMZ,9/1/2018,22.8,22.85,21.85,22.05,414177,0,1,22.8,22.85,21.85,22.05,414177
ZUMZ,8/1/2018,22.75,23.15,22.1,23,357671,0,1,22.75,23.15,22.1,23,357671
ZUMZ,5/1/2018,23.1,23.1,22.3,22.55,521978,0,1,23.1,23.1,22.3,22.55,521978
ZUMZ,4/1/2018,24.1,24.445,22.35,22.95,1660354,0,1,24.1,24.445,22.35,22.95,1660354
ZUMZ,3/1/2018,20,20.625,19.6,20.5,1307623,0,1,20,20.625,19.6,20.5,1307623
ZUMZ,2/1/2018,21.45,21.45,19.9,20,753317,0,1,21.45,21.45,19.9,20,753317
ZUMZ,29/12/2017,21.25,21.45,20.8,20.825,222040,0,1,21.25,21.45,20.8,20.825,222040
ZUMZ,28/12/2017,21.2,21.45,21.05,21.2,162070,0,1,21.2,21.45,21.05,21.2,162070
ZUMZ,27/12/2017,21.8,22.25,20.95,21.15,227325,0,1,21.8,22.25,20.95,21.15,227325
ZUMZ,26/12/2017,21.45,22.2,21.45,21.85,213951,0,1,21.45,22.2,21.45,21.85,213951
ZUMZ,22/12/2017,21.55,21.7,21.3,21.45,209585,0,1,21.55,21.7,21.3,21.45,209585
ZUMZ,21/12/2017,21.25,21.65,21,21.5,345086,0,1,21.25,21.65,21,21.5,345086
ZUMZ,20/12/2017,21.4,21.45,21,21.2,154394,0,1,21.4,21.45,21,21.2,154394
ZUMZ,19/12/2017,21.3,21.525,21.1,21.2,167932,0,1,21.3,21.525,21.1,21.2,167932
ZUMZ,18/12/2017,20.3,21.5,20.3,21.3,516427,0,1,20.3,21.5,20.3,21.3,516427
ZUMZ,15/12/2017,20,20.2,19.4398,20.1,531788,0,1,20,20.2,19.4398,20.1,531788
